DataYear|DistrictCountyNumber|DistrictCountyName|districtNumber|districtType|DistrictName|schoolNumber|SchoolName|ECSUNumber|EconomicDevelopmentRegion|Grade|AMI_Male|AMI_Female|API_Male|API_Female|HIS_Male|HIS_Female|BLK_Male|BLK_Female|WHT_Male|WHT_Female|TotalMale|TotalFemale|TotalMinority|TotalStudents|Entity|MinMaxGrade|SchoolLocationCountyNumber|SchoolLocationCountyName|SchoolClassification
12-13|01|Aitkin                                       |0001|01|AITKIN PUBLIC SCHOOL DISTRICT      |001|AITKIN SECONDARY SCHOOL            |03|03|07|0|0|1|0|0|0|0|2|38|45|39|47|3|86|School|07-12|01|Aitkin                                       |33
12-13|01|Aitkin                                       |0001|01|AITKIN PUBLIC SCHOOL DISTRICT      |001|AITKIN SECONDARY SCHOOL            |03|03|08|1|1|0|0|0|1|2|3|52|44|55|49|8|104|School|07-12|01|Aitkin                                       |33
12-13|01|Aitkin                                       |0001|01|AITKIN PUBLIC SCHOOL DISTRICT      |001|AITKIN SECONDARY SCHOOL            |03|03|09|0|0|0|0|0|0|1|0|59|54|60|54|1|114|School|07-12|01|Aitkin                                       |33
12-13|01|Aitkin                                       |0001|01|AITKIN PUBLIC SCHOOL DISTRICT      |001|AITKIN SECONDARY SCHOOL            |03|03|10|0|0|1|0|1|0|1|1|44|47|47|48|4|95|School|07-12|01|Aitkin                                       |33
12-13|01|Aitkin                                       |0001|01|AITKIN PUBLIC SCHOOL DISTRICT      |001|AITKIN SECONDARY SCHOOL            |03|03|11|1|1|0|0|0|1|1|1|39|53|41|56|5|97|School|07-12|01|Aitkin                                       |33
12-13|01|Aitkin                                       |0001|01|AITKIN PUBLIC SCHOOL DISTRICT      |001|AITKIN SECONDARY SCHOOL            |03|03|12|2|0|0|1|0|0|1|0|50|48|53|49|4|102|School|07-12|01|Aitkin                                       |33
12-13|01|Aitkin                                       |0001|01|AITKIN PUBLIC SCHOOL DISTRICT      |001|AITKIN SECONDARY SCHOOL            |03|03|All Grades|4|2|2|1|1|2|6|7|282|291|295|303|25|598|School|07-12|01|Aitkin                                       |33
12-13|01|Aitkin                                       |0001|01|AITKIN PUBLIC SCHOOL DISTRICT      |002|RIPPLESIDE ELEMENTARY              |03|03|PK|0|0|0|0|0|0|0|0|10|8|10|8|0|18|School|PK-06|01|Aitkin                                       |10
12-13|01|Aitkin                                       |0001|01|AITKIN PUBLIC SCHOOL DISTRICT      |002|RIPPLESIDE ELEMENTARY              |03|03|KG|0|0|0|0|2|0|0|0|49|40|51|40|2|91|School|PK-06|01|Aitkin                                       |10
12-13|01|Aitkin                                       |0001|01|AITKIN PUBLIC SCHOOL DISTRICT      |002|RIPPLESIDE ELEMENTARY              |03|03|01|0|1|1|0|1|0|1|2|38|37|41|40|6|81|School|PK-06|01|Aitkin                                       |10
12-13|01|Aitkin                                       |0001|01|AITKIN PUBLIC SCHOOL DISTRICT      |002|RIPPLESIDE ELEMENTARY              |03|03|02|0|0|0|1|0|1|2|0|53|35|55|37|4|92|School|PK-06|01|Aitkin                                       |10
12-13|01|Aitkin                                       |0001|01|AITKIN PUBLIC SCHOOL DISTRICT      |002|RIPPLESIDE ELEMENTARY              |03|03|03|0|0|0|2|1|0|1|0|47|48|49|50|4|99|School|PK-06|01|Aitkin                                       |10
12-13|01|Aitkin                                       |0001|01|AITKIN PUBLIC SCHOOL DISTRICT      |002|RIPPLESIDE ELEMENTARY              |03|03|04|1|1|0|0|0|0|1|1|51|48|53|50|4|103|School|PK-06|01|Aitkin                                       |10
12-13|01|Aitkin                                       |0001|01|AITKIN PUBLIC SCHOOL DISTRICT      |002|RIPPLESIDE ELEMENTARY              |03|03|05|1|0|0|1|0|0|0|0|36|37|37|38|2|75|School|PK-06|01|Aitkin                                       |10
12-13|01|Aitkin                                       |0001|01|AITKIN PUBLIC SCHOOL DISTRICT      |002|RIPPLESIDE ELEMENTARY              |03|03|06|1|1|0|0|1|1|1|3|44|43|47|48|8|95|School|PK-06|01|Aitkin                                       |10
12-13|01|Aitkin                                       |0001|01|AITKIN PUBLIC SCHOOL DISTRICT      |002|RIPPLESIDE ELEMENTARY              |03|03|All Grades|3|3|1|4|5|2|6|6|328|296|343|311|30|654|School|PK-06|01|Aitkin                                       |10
12-13|01|Aitkin                                       |0001|01|AITKIN PUBLIC SCHOOL DISTRICT      |003|PALISADE ELEMENTARY                |03|03|KG|0|0|0|0|0|0|0|0|0|2|0|2|0|2|School|KG-04|01|Aitkin                                       |10
12-13|01|Aitkin                                       |0001|01|AITKIN PUBLIC SCHOOL DISTRICT      |003|PALISADE ELEMENTARY                |03|03|01|0|0|0|0|0|0|0|0|3|3|3|3|0|6|School|KG-04|01|Aitkin                                       |10
12-13|01|Aitkin                                       |0001|01|AITKIN PUBLIC SCHOOL DISTRICT      |003|PALISADE ELEMENTARY                |03|03|02|0|0|0|0|0|0|0|0|0|1|0|1|0|1|School|KG-04|01|Aitkin                                       |10
