DataYear|DistrictCouNum|DistrictCountyName|districtNumber|districtType|DistrictName|schoolNumber|SchoolName|ECSUNumber|EconomicDevelopmentRegion|Grade|K12Enr|FreeK12|RedK12|LEPIdentifiedK12|LEPServedK12|SPEK12|PK12Enr|FreePK12|RedPK12|LEPIdentifiedPK12|LEPServedPK12|SPEPK12|SchoolLocationCountyNumber|SchoolLocationCountyName|MinMaxGrade|SchoolClassification
12-13|01|Aitkin                                       |0001|01|AITKIN PUBLIC SCHOOL DISTRICT      |001|AITKIN SECONDARY SCHOOL            |03|03|07|86|34|3|||8|86|34|3|||8|01|Aitkin                                       |07-12|33
12-13|01|Aitkin                                       |0001|01|AITKIN PUBLIC SCHOOL DISTRICT      |001|AITKIN SECONDARY SCHOOL            |03|03|08|104|37|6|||15|104|37|6|||15|01|Aitkin                                       |07-12|33
12-13|01|Aitkin                                       |0001|01|AITKIN PUBLIC SCHOOL DISTRICT      |001|AITKIN SECONDARY SCHOOL            |03|03|09|114|31|12|||17|114|31|12|||17|01|Aitkin                                       |07-12|33
12-13|01|Aitkin                                       |0001|01|AITKIN PUBLIC SCHOOL DISTRICT      |001|AITKIN SECONDARY SCHOOL            |03|03|10|95|29|12|||10|95|29|12|||10|01|Aitkin                                       |07-12|33
12-13|01|Aitkin                                       |0001|01|AITKIN PUBLIC SCHOOL DISTRICT      |001|AITKIN SECONDARY SCHOOL            |03|03|11|97|27|9|||15|97|27|9|||15|01|Aitkin                                       |07-12|33
12-13|01|Aitkin                                       |0001|01|AITKIN PUBLIC SCHOOL DISTRICT      |001|AITKIN SECONDARY SCHOOL            |03|03|12|102|26|15|||21|102|26|15|||21|01|Aitkin                                       |07-12|33
12-13|01|Aitkin                                       |0001|01|AITKIN PUBLIC SCHOOL DISTRICT      |001|AITKIN SECONDARY SCHOOL            |03|03|All Grades|598|184|57|||86|598|184|57|||86|01|Aitkin                                       |07-12|33
12-13|01|Aitkin                                       |0001|01|AITKIN PUBLIC SCHOOL DISTRICT      |002|RIPPLESIDE ELEMENTARY              |03|03|PK|||||||18|9|2|||18|01|Aitkin                                       |PK-06|10
12-13|01|Aitkin                                       |0001|01|AITKIN PUBLIC SCHOOL DISTRICT      |002|RIPPLESIDE ELEMENTARY              |03|03|KG|91|37|13|||14|91|37|13|||14|01|Aitkin                                       |PK-06|10
12-13|01|Aitkin                                       |0001|01|AITKIN PUBLIC SCHOOL DISTRICT      |002|RIPPLESIDE ELEMENTARY              |03|03|01|81|35|8|||17|81|35|8|||17|01|Aitkin                                       |PK-06|10
