school|school2|meansal|mediansal|minsal|maxsal|meanexp|medianexp|minexp|maxexp|schoolfrp|schoolpctwht|nteachers|category
North (ISA)|NORTH ACADEMY ARTS/COMMUNICATION   |59364.875|62326.5|43268|74174|2681.75|1611.0|131|10174|0.921875|0.03125|8|ri
Pratt Elementary|PRATT ELEMENTARY                   |70641.71428571429|73659.0|44298|85506|5726.7857142857147|6789.5|73|11102|0.7546296296296297|0.22406639004149378|14|none
Lake Nokomis Wenonah|LK NOKOMIS COMM-WENONAH CAMPUS     |66361.5|70568.0|39147|86536|5055.083333333333|5243.0|126|13615|0.5279503105590062|0.6211180124223602|12|none
Seward Montessori School|SEWARD ELEMENTARY                  |70535.234042553187|76234.0|43268|91687|4939.4468085106382|5488.0|155|12030|0.5332581736189402|0.455467869222097|47|none
Folwell Performing Arts|FOLWELL ARTS MAGNET                |65490.714285714283|67993.0|40177|88597|4970.0714285714284|5274.5|155|12424|0.8576122672508215|0.22562979189485213|70|none
Kenwood Elementary|KENWOOD ELEMENTARY                 |75719.181818181823|77264.5|49449|90657|8328.9090909090901|7953.5|1813|13629|0.2826086956521739|0.6804347826086956|22|notitle1
Lake Harriet Upper (Fulton)|LAKE HARRIET UPPER SCHOOL          |71701.233333333337|72113.0|43268|87566|6503.4666666666662|6438.5|147|13261|0.08659217877094973|0.8310055865921788|30|notitle1
Armatage|ARMATAGE ELEMENTARY                |65449.25|69023.0|40177|79325|5092.34375|6323.0|155|12128|0.27749576988155666|0.7128712871287128|32|notitle1
Hale Elementary|HALE ELEMENTARY                    |74539.322580645166|76234.0|43268|85506|7889.2580645161288|7812.0|147|13489|0.1650943396226415|0.7830188679245284|31|notitle1
South High|SOUTH SENIOR HIGH                  |67758.029702970292|70053.0|41208|91687|6180.4554455445541|5985.0|140|36532|0.5455049944506104|0.43507214206437295|101|none
Edison High|EDISON SENIOR HIGH                 |64263.647887323947|65932.0|39147|88597|3906.2676056338028|4158.0|140|11087|0.9105113636363636|0.14914772727272727|71|none
Henry High|HENRY SENIOR HIGH                  |67002.08974358975|69023.0|41208|87566|4931.6538461538457|5250.0|144|11105|0.8988970588235294|0.11121323529411764|78|ri
Nellie Stone Johnson|NELLIE STONE JOHNSON ELEMENTARY    |64536.548387096773|71083.0|39147|84476|4089.7741935483873|4688.0|91|9943|0.9568151147098516|0.13090418353576247|62|ri
Richard Green Central|GREEN CENTRAL PARK ELEMENTARY      |59874.739999999998|60266.0|39147|90657|3420.46|1512.5|129|10294|0.9493464052287581|0.17341977309562398|50|ri
Bryn Mawr Primary|BRYN MAWR ELEMENTARY               |66993.696969696975|69023.0|43268|86536|4891.666666666667|5255.0|155|10735|0.8329238329238329|0.15053763440860216|33|ri
Hmong International Academy|HMONG INTERNATIONAL ACADEMY        |65005.050000000003|69023.0|41208|87566|4886.8500000000004|5248.5|155|12040|0.8995633187772926|0.049484536082474224|40|ri
Whittier Community School|WHITTIER INTERNATIONAL             |62105.880952380954|63872.0|39147|87566|3704.0238095238096|2300.0|155|9968|0.6707882534775889|0.3508500772797527|42|none
Northrop Elementary|NORTHROP ELEMENTARY                |66030.380952380947|65932.0|44298|86536|5852.6190476190477|6144.0|1247|10374|0.4883177570093458|0.5568445475638051|21|none
Emerson Spanish Immersion|EMERSON ELEMENTARY                 |56918.035714285717|61811.5|39147|83446|2273.0714285714284|1025.5|28|9268|0.7929515418502202|0.38377192982456143|28|none
Hiawatha Elementary|HIAWATHA ELEMENTARY                |75604.666666666672|75719.0|59751|86536|8739.8888888888887|8645.0|4459|12487|0.5488958990536278|0.5394321766561514|18|none
Jenny Lind|JENNY LIND ELEMENTARY              |63326.5|65932.0|39147|88597|4924.1764705882351|4972.5|155|13524|0.9364485981308411|0.10575139146567718|34|ri
Lake Nokomis Keewaydin|LK NOKOMIS COMM-KEEWAYDIN CAMPUS   |65352.8125|65932.0|42238|84476|3883.0|3428.0|155|9142|0.5616438356164384|0.4931506849315068|16|none
Sanford Middle School|SANFORD MIDDLE                     |69419.076923076922|69023.0|43268|90657|4850.4871794871797|5250.0|288|9639|0.6253263707571801|0.35509138381201044|39|none
Anne Sullivan|SULLIVAN ELEMENTARY                |67754.88461538461|70568.0|41208|92717|4897.0192307692305|5074.0|102|13619|0.9259259259259259|0.11710323574730354|52|ri
Jefferson Elementary|JEFFERSON ELEMENTARY               |64583.581818181818|67993.0|39147|84476|4619.0727272727272|4963.0|147|11717|0.9515625|0.2|55|none
Anishinabe Academy|ANISHINABE ACADEMY                 |67056.090909090912|67992.5|43268|89627|5203.181818181818|5792.5|1101|8771|0.961764705882353|0.046511627906976744|22|none
Harrison Education Center|HARRISON EDUCATION CENTER          |58291.666666666664|58206.0|41208|81385|2663.75|1697.0|155|10374|0.9672131147540983|0.04918032786885246|12|none
Burroughs|BURROUGHS ELEMENTARY               |72313.694444444438|72628.5|44298|87566|6989.2777777777774|7020.0|1247|16209|0.11964735516372796|0.8211586901763224|36|notitle1
Bancroft Elementary|BANCROFT ELEMENTARY                |67716.292682926825|70053.0|41208|87566|6883.3170731707314|7077.0|511|36537|0.8804554079696395|0.3050847457627119|41|none
Pillsbury Math/Science/Technology|PILLSBURY ELEMENTARY               |68519.720930232565|72113.0|39147|88597|5704.0|5796.0|155|12558|0.8848167539267016|0.2582322357019064|43|none
Northeast Middle School|NORTHEAST MIDDLE                   |62214.565217391304|63872.0|39147|87566|3634.782608695652|4123.0|25|11312|0.8076285240464345|0.24212271973466004|46|none
Dowling Elementary|DOWLING ELEMENTARY                 |76633.06451612903|78296.0|45328|93748|8267.322580645161|7921.0|1959|13283|0.38767395626242546|0.6302186878727635|31|none
Anthony|ANTHONY MIDDLE SCHOOL              |64190.738095238092|65417.0|39147|86536|5200.333333333333|4798.5|155|36525|0.38534278959810875|0.5401891252955082|42|none
Ramsey Middle School|RAMSEY MIDDLE                      |59029.900000000001|58206.0|46359|73144|2643.5|1869.0|147|6611|0.41624365482233505|0.5329949238578681|10|none
Olson Middle School|OLSON MIDDLE                       |54771.875|52539.5|39147|78295|1707.375|794.5|137|9043|0.928125|0.0875|24|ri
Wellstone Intl High School|WELLSTONE INTERNATIONAL HIGH       |65785.142857142855|69023.0|43268|82415|3916.0|3530.0|98|8813|0.9320388349514563|0.23786407766990292|14|none
Loring Elementary|LORING ELEMENTARY                  |71297.75|71598.0|44298|87566|6799.208333333333|7628.0|519|11388|0.6547314578005116|0.356234096692112|24|none
Sheridan International Fine Arts|SHERIDAN ELEMENTARY                |65468.699999999997|67993.0|41208|86536|4963.9499999999998|5782.0|155|11315|0.9401709401709402|0.18723404255319148|40|ri
River Bend|RIVER BEND EDUCATIONAL CENTER      |60736.478260869568|59751.0|39147|81385|3383.9565217391305|2694.0|70|10541|0.989010989010989|0.07692307692307693|23|none
Transition Plus|TRANSITION PLUS SERVICES           |71855.805555555562|75719.0|47389|86536|5562.2222222222226|5551.0|430|13513|0.8|0.25846153846153846|36|none
North High|NORTH SENIOR HIGH                  |63356.857142857145|64387.0|43268|83446|8918.4285714285706|4868.5|140|36530|0.9141414141414141|0.050505050505050504|14|ri
Kenny Elementary|KENNY ELEMENTARY                   |71034.047619047618|72113.0|39147|87566|6417.1428571428569|6705.0|221|10707|0.37055837563451777|0.5888324873096447|21|none
Bethune|BETHUNE ELEMENTARY                 |56036.121212121216|49449.0|39147|84476|3244.787878787879|742.0|97|13265|0.9968553459119497|0.055900621118012424|33|ri
Lake Harriet Lower (Audubon)|LAKE HARRIET LOWER ELEMENTARY      |78019.866666666669|80355.0|64902|90657|8513.4666666666672|8540.0|5985|10209|0.07672634271099744|0.9028132992327366|15|notitle1
Southwest High|SOUTHWEST SENIOR HIGH              |69720.709677419349|74174.0|39147|88597|6114.5053763440865|6713.0|84|13177|0.3875739644970414|0.5568047337278107|93|none
Field|FIELD ELEMENTARY                   |71868.142857142855|75204.0|43268|84476|6475.2857142857147|7045.0|742|9184|0.25523809523809526|0.6742857142857143|21|notitle1
Barton Open|BARTON OPEN ELEMENTARY             |72332.030303030304|73144.0|42238|90657|7011.969696969697|7812.0|147|12842|0.2594086021505376|0.6841397849462365|33|notitle1
Hall International|HALL INTERNATIONAL                 |68099.206896551725|72113.0|40177|86536|4969.0689655172409|5621.0|46|8442|0.875|0.11735941320293398|29|ri
Lyndale Elementary|LYNDALE ELEMENTARY                 |67265.411764705888|67993.0|43268|86536|5461.6470588235297|5614.0|839|11963|0.7627118644067796|0.2635514018691589|34|none
Washburn High|WASHBURN SENIOR HIGH               |62483.958333333336|65417.0|41208|94778|3399.5277777777778|1937.5|25|12096|0.47568881685575365|0.47487844408427876|72|none
Lucy Laney Elementary|LUCY LANEY @ CLEVELAND PARK ELEM.  |56486.0|51510.0|39147|86536|2700.8813559322034|1572.0|111|12046|0.9894578313253012|0.052552552552552555|59|ri
Waite Park Elementary|WAITE PARK ELEMENTARY              |71006.962962962964|73144.0|39147|86536|6973.5555555555557|8137.0|35|11771|0.6111111111111112|0.52|27|none
Roosevelt High|ROOSEVELT SENIOR HIGH              |66520.968253968254|67993.0|39147|94778|5832.8730158730159|5908.0|155|36537|0.8592777085927771|0.1506849315068493|63|none
Windom Elementary|WINDOM SCHOOL                      |66430.741935483864|65932.0|42238|89627|3927.0645161290322|1611.0|126|9870|0.5271867612293144|0.49292452830188677|31|none
